num_of_nodes,average_shortest_path_length,clustering_coefficient,assortativity,avg_degree_centrality,avg_closeness_centrality,avg_betweenness_centrality
9884,661.7945339263392,0.0,-0.07950142362328005,0.00020234722784300138,0.001774393373082035,0.06686850171284549
8401,502.22227552275524,0.0,-0.17408510789130877,0.00023806689679795582,0.0025387238892991115,0.059676422850667404
4555,252.7301856439641,0.0,-0.25898118511551266,0.00043907793633363043,0.005384244399483166,0.05528886133186122
9523,642.164004929707,0.0,-0.07757177657106493,0.00021001785151743857,0.0018254392236621384,0.0673420864331171
3079,206.93924447002172,0.0,-0.14111422159645778,0.0006495615459565344,0.005675573072042964,0.06692858123822602
6275,422.40568320279607,0.0,-0.09638188487781159,0.0003187250996016446,0.002811898118316645,0.06717769539339967
1140,75.45303667421408,0.0,-0.19737057000998123,0.0017543859649122486,0.015956233065886716,0.06542446104939721
901,62.0713330866938,0.0,-0.16899308849437597,0.002219755826858996,0.01872187177927557,0.06793251733781283
9590,584.1616521407317,0.0,-0.14470018424970033,0.00020855057351404875,0.0021291166031798623,0.06082203297254185
1102,76.7267143711953,0.0,-0.16170722826598274,0.001814882032667811,0.015186159331397494,0.0688424676101776
3157,203.37615326032278,0.0,-0.14107840007734743,0.0006335128286347109,0.005827143874348298,0.06414458106507855
1106,75.01645160498474,0.0,-0.34642054549873386,0.0018083182640144626,0.017451256580765854,0.06704388732335566
2815,182.72594752701855,0.0,-0.1731892753966993,0.000710479573712327,0.006415883445198964,0.06460218539886901
4952,335.65305143883404,0.0,-0.11881147311077012,0.0004038772213247305,0.0034919864574211655,0.0676066770583503
4610,290.5998292504197,0.0,-0.09594186397043879,0.000433839479392659,0.0040256432698484645,0.06284718516719182
1362,92.05947190510562,0.0,-0.1931713797105687,0.0014684287812041664,0.012711158831053313,0.06695549404787174
8656,500.78930060300854,0.0,-0.49150798383800437,0.00023105360443624666,0.002742520960513382,0.05775240358250617
1788,131.16045538934563,0.0,-0.11967257723567462,0.0011185682326621787,0.008727479568447284,0.07287819450691248
9674,627.5417033629839,0.0,-0.09968376550143983,0.00020673971469912573,0.00187664988871561,0.06477891887541179
1100,68.67397137893953,0.0,-0.4201898234706906,0.0018181818181818529,0.019395633892709933,0.06163385371488117
1641,107.91047546855725,0.0,-0.16059220277986797,0.0012187690432662196,0.010914836940523621,0.06522908814433019
7594,472.8375771718549,0.0,-0.12310044096740116,0.000263365815117262,0.0026298034468738222,0.062149312061624745
5527,365.8852803082109,0.0,-0.09757014164027163,0.00036185996019540443,0.0032179784935222576,0.06604258467116944
5509,358.34957545538805,0.0,-0.11938840456596293,0.00036304229442727726,0.003297070687524362,0.06489006273023208
8765,580.6918928573381,0.0,-0.0971134565659631,0.00022818026240725085,0.0020263956101266435,0.06615221874441826
7289,475.5776377769669,0.0,-0.09593428111658668,0.00027438606118802177,0.0024685830633330366,0.06512661421393805
2833,184.64732441104735,0.0,-0.17662228043872977,0.0007059654076950426,0.006447513290087943,0.064870125189349
2169,137.66351763102693,0.0,-0.13875622328849757,0.0009220839096358262,0.008546313581601555,0.06306576725012773
1413,101.40900260430763,0.0,-0.18728453232711997,0.001415428167020565,0.011632177081729936,0.0711615893722946
5335,335.66282316865966,0.0,-0.1074024066744709,0.00037488284910961107,0.003542694074639728,0.06275320141921228
920,58.187777357240854,0.0,-0.19754580967942476,0.002173913043478238,0.020153154416311696,0.062296053766057576
9789,657.6876473233782,0.0,-0.08386377768960393,0.0002043109612831516,0.001779778684742869,0.06709795109056692
4492,265.2781730473909,0.0,-0.20804244072981046,0.0004452359750667999,0.004809640572186186,0.05885928130231417
6130,416.3958927112753,0.0,-0.10604307733906243,0.0003262642740620421,0.0028276072156305323,0.06778653601685294
3147,216.62525122564986,0.0,-0.1909019191126397,0.0006355258976803531,0.005427251398132607,0.06856128814806044
1252,83.86395292711518,0.0,-0.16337975050783105,0.0015974440894569095,0.013941423423783557,0.06629116234169215
9143,615.0862816964503,0.0,-0.08953198155453658,0.0002187465820846779,0.0019062857212682853,0.067179332862537
1956,145.1973728942097,0.0,-0.1938730584691213,0.0010224948875256067,0.007914516664512086,0.07379599431638169
